day_of month,name,info
10,Brian Hannon,", 85, Irish Anglican prelate, lord bishop of Clogher (1986–2001)."
10,Aura Herzog,", 97, Israeli social activist, first lady (1983–1993) and founder of the Council for a Beautiful Israel."
10,Francis Jackson,", 104, British organist and composer."
10,Khan Jamal,", 75, American jazz vibraphonist, kidney failure."
10,Arthur J. Jelinek,", 93, American anthropologist."
10,Glyn Jones,", 85, English footballer (Sheffield United, Rotherham United, Mansfield Town). (death announced on this date)"
10,Friedrich Kurrent,", 90, Austrian architect and author."
10,Deon Lendore,", 29, Trinidad and Tobago sprinter, Olympic bronze medallist (2012), traffic collision."
10,Liu Xianping,", 83, Chinese writer."
10,Øystein Lønn,", 85, Norwegian writer."
10,Taskeen Manerwal,", 72, Pakistani poet."
10,"Margherita, Archduchess of Austria-Este",", 91, Italian aristocrat."
10,Don Maynard,", 86, American Hall of Fame football player (New York Titans / Jets, New York Giants, St. Louis Cardinals), Super Bowl champion (1969)."
10,Ali Mitgutsch,", 86, German illustrator, pneumonia."
10,Shinji Mizushima,", 82, Japanese manga artist (, , ), pneumonia."
10,Miguel Muñiz,", 82, Spanish economist, president of Official Credit Institute (1986–1995) and director of Teatro Real (2004–2012)."
10,Valentine Palmer,", 86, English voice coach, singer and actor (, , )."
10,Chandrashekhar Patil,", 82, Indian poet and playwright."
10,Alejandro Quiroz,", 101, Mexican Olympic pentathlete (1948)."
10,Olavi Rinteenpää,", 97, Finnish Olympic steeplechase runner (1952, 1956)."
10,Nils A. Røhne,", 72, Norwegian politician, deputy MP (1997–2009)."
10,Tina Scala,", 86, Italian-Irish actress ()."
10,Burke Shelley,", 71, Welsh bassist and vocalist (Budgie)."
10,Colin Slater,", 87, English football commentator (BBC Radio Nottingham)."
10,Ronald Stewart,", 94, Canadian politician, MP (1979–1988)."
10,Zhanat Suleimenov,", 59, Kazakh military leader and politician, deputy minister of internal affairs (2017–2019), suicide."
10,Gerald Tanner,", 100, Australian footballer (Richmond)."
10,Silvia Tortora,", 59, Italian journalist."
10,Abdurrahman Vazirov,", 91, Azerbaijani politician, leader of Azerbaijan SSR (1988–1990)."
10,Gary Waldhorn,", 78, English actor (, , )."
11,Anatoly Alyabyev,", 70, Russian biathlete, Olympic champion (1980 individual, 1980 relay), COVID-19."
11,Clyde Bellecourt,", 85, American civil rights activist, co-founder of the American Indian Movement, cancer."
11,Jana Bennett,", 66, American-born British media executive, brain cancer."
11,Orlando Busino,", 95, American cartoonist."
11,Ahmet Yılmaz Çalık,", 27, Turkish footballer (Galatasaray, Konyaspor, national team), traffic collision."
11,Jeffery Paul Chan,", 79, American author () and scholar."
11,Stephen Churchett,", 74, British actor (, , )."
11,Mike Cochran,", 85, American journalist (Associated Press, )."
11,Evence-Charles Coppée,", 68, Belgian press director, director of  (1996–2005)."
11,Jerry Crutchfield,", 87, American music executive."
11,Mihir Das,", 62, Indian actor (, , )."
11,Razmik Davoyan,", 81, Armenian poet."
11,Louis Dupré,", 96, Belgian religious philosopher."
11,Francesco Focardi,", 72, Italian Roman Catholic prelate, vicar apostolic of Camiri (2009–2017)."
11,Richard Folmer,", 79, American actor (, , )."
11,Dinos Hadjinicolas,", 66, Cypriot politician, member of the House of Representatives (2003–2011)."
11,Marleen Hutchful,", 35, Ghanaian actress (), acute myeloid leukemia."
11,Boris Khazanov,", 93, Russian writer."
11,Magawa,", 8, Cambodian African giant pouched rat, HeroRAT."
11,Duryodhan Majhi,", 83, Indian politician, Odisha MLA (1990–2019)."
11,Kay McNamee,", 91, Canadian Olympic swimmer (1948, 1952)."
11,Khaleel Mohammed,", 66, Guyanese-Canadian religious scholar. (death announced on this date)"
11,Abdillahi Nassir,", 89, Kenyan Islamic scholar."
11,Hans Nisblé,", 76, German politician."
11,Pang Chien-kuo,", 68, Taiwanese politician, member of the Legislative Yuan (2002–2005), fall."
11,Klaus Ploghaus,", 65, German hammer thrower, Olympic bronze medalist (1984)."
11,Karl Harrington Potter,", 94, American Indologist."
11,A. G. S. Ram Babu,", 59, Indian politician, MP (1989–2001), COVID-19."
11,Herman Rechberger,", 74, Austrian-born Finnish composer."
11,Tim Rosaforte,", 66, American golf writer (ESPN, ) and broadcaster (), complications from Alzheimer's disease."
11,Jordi Sabatés,", 73, Spanish pianist."
11,Guy Sajer,", 94, French writer () and cartoonist."
11,Phil Samis,", 94, Canadian ice hockey player (Toronto Maple Leafs), Stanley Cup champion (1948)."
11,Noureddine Sammoud,", 90, Tunisian author."
